# Call transcript — started 2026-06-08T23:18:17.698394
# Call ID: df711c89

[23:22:03] USER: 4747474.
[23:22:07] BOT: Could
[23:22:07] BOT: you
[23:22:07] BOT: please
[23:22:07] BOT: provide
[23:22:07] BOT: your
[23:22:07] BOT: complete
[23:22:07] BOT: phone
[23:22:07] BOT: number,
[23:22:07] BOT: including
[23:22:07] BOT: the
[23:22:07] BOT: area
[23:22:07] BOT: code?
[23:22:17] USER: plus one
[23:22:19] BOT: Thank
[23:22:19] BOT: you.
[23:22:20] BOT: Your
[23:22:20] BOT: partial
[23:22:20] BOT: phone
[23:22:20] BOT: number
[23:22:20] BOT: is
[23:22:20] BOT: so
[23:22:20] BOT: far
[23:22:20] BOT: "+
[23:22:20] BOT: one"
[23:22:20] BOT: and
[23:22:20] BOT: "four
[23:22:20] BOT: seven
[23:22:20] BOT: four
[23:22:20] BOT: seven
[23:22:20] BOT: four
[23:22:20] BOT: seven
[23:22:20] BOT: four".
[23:22:22] USER: Thanks for two
[23:22:25] BOT: Thank
[23:22:25] BOT: you
[23:22:25] BOT: for
[23:22:25] BOT: providing
[23:22:25] BOT: your
[23:22:25] BOT: phone
[23:22:25] BOT: number
[23:22:25] BOT: earlier.
[23:22:27] BOT: Lastly,
[23:22:27] BOT: do
[23:22:27] BOT: you
[23:22:27] BOT: have
[23:22:27] BOT: any
[23:22:27] BOT: special
[23:22:27] BOT: instructions
[23:22:27] BOT: for
[23:22:27] BOT: the
[23:22:27] BOT: delivery?
[23:22:38] USER: Sure, everything is.
[23:22:44] USER: And nothing
[23:22:44] USER: falling apart and everything
[23:22:47] BOT: Understood,
[23:22:47] BOT: no
[23:22:47] BOT: special
[23:22:47] BOT: instructions
[23:22:47] BOT: then.
[23:22:48] BOT: How
[23:22:48] BOT: would
[23:22:48] BOT: you
[23:22:48] BOT: like
[23:22:48] BOT: to
[23:22:48] BOT: make
[23:22:48] BOT: the
[23:22:48] BOT: payment
[23:22:48] BOT: -
[23:22:48] BOT: cash
[23:22:48] BOT: on
[23:22:48] BOT: delivery
[23:22:48] BOT: or
[23:22:48] BOT: another
[23:22:48] BOT: method?
[23:22:58] USER: I would like to make it.
[23:23:01] BOT: Would
[23:23:01] BOT: you
[23:23:01] BOT: prefer
[23:23:01] BOT: to
[23:23:01] BOT: pay
[23:23:01] BOT: with
[23:23:01] BOT: cash
[23:23:02] BOT: on
[23:23:02] BOT: delivery
[23:23:02] BOT: or
[23:23:02] BOT: do
[23:23:02] BOT: you
[23:23:02] BOT: have
[23:23:02] BOT: another
[23:23:02] BOT: payment
[23:23:02] BOT: method
[23:23:02] BOT: in
[23:23:02] BOT: mind?
[23:23:12] USER: No, I would like to pay cash on delivery.
[23:23:14] BOT: Perfect!
[23:23:15] BOT: So,
[23:23:15] BOT: you
[23:23:15] BOT: would
[23:23:15] BOT: like
[23:23:15] BOT: to
[23:23:15] BOT: pay
[23:23:15] BOT: cash
[23:23:15] BOT: on
[23:23:15] BOT: delivery.
[23:23:17] BOT: Let
[23:23:17] BOT: me
[23:23:17] BOT: confirm
[23:23:17] BOT: your
[23:23:17] BOT: order:
[23:23:17] BOT: two
[23:23:17] BOT: chicken
[23:23:17] BOT: cheeseburgers
[23:23:17] BOT: and
[23:23:17] BOT: one
[23:23:17] BOT: large
[23:23:17] BOT: chicken
[23:23:17] BOT: pizza
[23:23:17] BOT: for
[23:23:17] BOT: delivery
[23:23:17] BOT: to
[23:23:17] BOT: A
[23:23:17] BOT: slash
[23:23:17] BOT: one
[23:23:17] BOT: Twentieth
[23:23:17] BOT: Street.
[23:23:18] BOT: Could
[23:23:18] BOT: you
[23:23:18] BOT: kindly
[23:23:18] BOT: confirm
[23:23:18] BOT: this
[23:23:18] BOT: along
[23:23:18] BOT: with
[23:23:18] BOT: your
[23:23:18] BOT: name
[23:23:18] BOT: Shay
[23:23:18] BOT: and
[23:23:18] BOT: phone
[23:23:18] BOT: number
[23:23:18] BOT: plus
[23:23:18] BOT: one
[23:23:18] BOT: four
[23:23:18] BOT: four
[23:23:18] BOT: seven
[23:23:18] BOT: four
[23:23:18] BOT: seven
[23:23:18] BOT: four?
[23:23:19] BOT: If
[23:23:19] BOT: everything
[23:23:19] BOT: is
[23:23:19] BOT: correct,
[23:23:19] BOT: I'll
[23:23:19] BOT: just
[23:23:19] BOT: need
[23:23:19] BOT: a
[23:23:19] BOT: moment
[23:23:19] BOT: to
[23:23:19] BOT: calculate
[23:23:19] BOT: the
[23:23:19] BOT: total.
[23:23:43] USER: Kindly let me know the total amount.
[23:23:45] BOT: Sure!
[23:23:48] BOT: Let's
[23:23:48] BOT: break
[23:23:48] BOT: down
[23:23:48] BOT: your
[23:23:48] BOT: order
[23:23:48] BOT: to
[23:23:48] BOT: get
[23:23:48] BOT: the
[23:23:48] BOT: total:

-
[23:23:48] BOT: Two
[23:23:48] BOT: chicken
[23:23:48] BOT: cheeseburgers
[23:23:48] BOT: at
[23:23:48] BOT: three
[23:23:48] BOT: hundred
[23:23:48] BOT: fifty
[23:23:48] BOT: rupees
[23:23:48] BOT: each:
[23:23:48] BOT: seven
[23:23:48] BOT: hundred
[23:23:48] BOT: rupees.
[23:23:49] BOT: -
[23:23:49] BOT: One
[23:23:49] BOT: large
[23:23:49] BOT: chicken
[23:23:49] BOT: pizza
[23:23:49] BOT: at
[23:23:49] BOT: nine
[23:23:49] BOT: hundred
[23:23:49] BOT: rupees.
[23:23:50] BOT: The
[23:23:50] BOT: subtotal
[23:23:50] BOT: is
[23:23:50] BOT: sixteen
[23:23:50] BOT: hundred
[23:23:50] BOT: rupees.
[23:23:52] BOT: Delivery
[23:23:52] BOT: charges
[23:23:52] BOT: are
[23:23:52] BOT: two
[23:23:52] BOT: hundred
[23:23:52] BOT: fifty
[23:23:52] BOT: rupees.
[23:23:53] BOT: The
[23:23:53] BOT: total
[23:23:53] BOT: amount
[23:23:53] BOT: your
[23:23:53] BOT: order
[23:23:53] BOT: is
[23:23:53] BOT: eighteen
[23:23:53] BOT: hundred
[23:23:53] BOT: fifty
[23:23:53] BOT: rupees.
[23:23:54] BOT: Would
[23:23:54] BOT: you
[23:23:54] BOT: like
[23:23:54] BOT: to
[23:23:54] BOT: confirm
[23:23:54] BOT: your
[23:23:54] BOT: order?
[23:24:44] USER: Kale! Kale!
[23:24:47] USER: Kale kale.
[23:24:49] BOT: Thank
[23:24:49] BOT: you
[23:24:49] BOT: for
[23:24:49] BOT: confirming
[23:24:49] BOT: your
[23:24:49] BOT: order.
[23:24:50] BOT: If
[23:24:50] BOT: you
[23:24:50] BOT: any
[23:24:50] BOT: other
[23:24:50] BOT: questions
[23:24:50] BOT: or
[23:24:50] BOT: need
[23:24:50] BOT: further
[23:24:50] BOT: assistance,
[23:24:50] BOT: feel
[23:24:50] BOT: free
[23:24:50] BOT: to
[23:24:50] BOT: ask.
[23:24:50] BOT: Have
[23:24:50] BOT: a
[23:24:50] BOT: great
[23:24:50] BOT: day!
[23:25:02] USER: No thank you.
[23:25:05] USER: Thank you, Allah Hafiz.
[23:25:11] BOT: Allah
[23:25:11] BOT: Hafiz!
[23:25:12] BOT: If
[23:25:12] BOT: you
[23:25:12] BOT: have
[23:25:12] BOT: any
[23:25:12] BOT: questions
[23:25:12] BOT: in
[23:25:12] BOT: the
[23:25:12] BOT: future,
[23:25:12] BOT: feel
[23:25:12] BOT: free
[23:25:12] BOT: to
[23:25:12] BOT: reach
[23:25:12] BOT: out.
[23:25:13] USER: صباح الخير
[23:25:15] USER: Allah Hafiz.
[23:25:18] BOT: Allah
[23:25:18] BOT: Hafiz!
[23:25:18] BOT: Take
[23:25:18] BOT: care!
[23:25:24] USER: اللہ حافظ.
[23:25:24] USER: Allah Hafez, thank you.
